Store,Dept,Date,Weekly_Sales,Predicted_Weekly_Sales
1,1,2012-07-13,16566.18,17314.256712190516
1,1,2012-07-20,16348.06,16513.781504233946
1,1,2012-07-27,15731.18,16221.568141328104
1,1,2012-08-03,16628.31,15866.27000956628
1,1,2012-08-10,16119.92,16475.303584418893
1,1,2012-08-17,17330.7,16147.123887853439
1,1,2012-08-24,16286.4,16916.249462179843
1,1,2012-08-31,16680.24,16249.89864791308
1,1,2012-09-07,18322.37,17378.1381964207
1,1,2012-09-14,19616.22,17997.13831138178
1,1,2012-09-21,19251.5,18818.44485629841
1,1,2012-09-28,18947.81,18549.737364122757
1,1,2012-10-05,21904.47,19378.30640262941
1,1,2012-10-12,22764.01,21418.88676027476
1,1,2012-10-19,24185.27,21940.569965503288
1,1,2012-10-26,27390.81,27662.603074159124
1,2,2012-07-13,44411.95,47332.33030024197
1,2,2012-07-20,45108.22,46102.310084143144
1,2,2012-07-27,45008.22,45802.458672103734
1,2,2012-08-03,49424.06,46541.68063305869
1,2,2012-08-10,46729.91,46485.79270667424
1,2,2012-08-17,46350.97,46510.76316399011
1,2,2012-08-24,44972.52,46835.558716930915
1,2,2012-08-31,50995.5,46865.05900894783
1,2,2012-09-07,47344.5,48737.36748791628
1,2,2012-09-14,44493.61,46356.64878092555
1,2,2012-09-21,43541.07,45706.86096547659
1,2,2012-09-28,45784.76,45639.426280175765
1,2,2012-10-05,48577.08,46685.314332137736
1,2,2012-10-12,42112.67,46546.67150351924
1,2,2012-10-19,42354.72,43795.787654776905
1,2,2012-10-26,43134.88,43611.57238654962
1,3,2012-07-13,13126.15,9266.56141711587
1,3,2012-07-20,20126.95,14441.847033936378
1,3,2012-07-27,22716.7,21300.860915027064
1,3,2012-08-03,30331.69,26816.09131570139
1,3,2012-08-10,28257.3,29464.109493655236
1,3,2012-08-17,31905.97,34912.463847240484
1,3,2012-08-24,43712.78,38330.14220167567
1,3,2012-08-31,50701.3,35582.87502234212
1,3,2012-09-07,18368.51,41244.221451403595
1,3,2012-09-14,14288.22,18744.83321654432
1,3,2012-09-21,13403.63,14990.09695237018
1,3,2012-09-28,13085.95,14584.122447706992
1,3,2012-10-05,11676.98,13960.73346899349
1,3,2012-10-12,10487.17,12370.475690367577
1,3,2012-10-19,8548.87,11151.646697604378
1,3,2012-10-26,9350.9,9913.371995407777
1,4,2012-07-13,38073.91,41078.48902324354
1,4,2012-07-20,38080.05,38380.952198591534
